index,time_cycles
0,349
1,364
2,349
3,335
4,335
5,349
6,349
7,335
8,335
9,335
10,349
11,335
12,335
13,335
14,349
15,335
16,349
17,335
18,349
19,335
20,335
21,335
22,349
23,335
24,335
25,335
26,585
27,335
28,335
29,349
30,349
31,335
32,335
33,335
34,349
35,335
36,335
37,349
38,349
39,349
40,335
41,335
42,349
43,349
44,335
45,335
46,349
47,607
48,349
49,335
50,335
51,349
52,335
53,335
54,335
55,349
56,335
57,335
58,349
59,349
60,335
61,335
62,335
63,349
64,335
65,335
66,335
67,349
68,335
69,349
70,335
71,349
72,335
73,335
74,335
75,349
76,335
77,335
78,335
79,601
80,335
81,335
82,335
83,349
84,335
85,335
86,335
87,349
88,335
89,335
90,349
91,349
92,335
93,335
94,335
95,349
96,335
97,335
98,335
99,349
100,586
101,349
102,335
103,349
104,349
105,335
106,335
107,349
108,349
109,335
110,335
111,349
112,349
113,335
114,335
115,335
116,349
117,335
118,335
119,335
120,349
121,335
122,349
123,335
124,349
125,335
126,335
127,335
128,349
129,335
130,335
131,335
132,600
133,335
134,335
135,335
136,349
137,335
138,335
139,335
140,349
141,335
142,335
143,349
144,349
145,335
146,335
147,335
148,349
149,335
150,335
151,335
152,349
153,586
154,349
155,335
156,349
157,363
158,335
159,335
160,349
161,349
162,335
163,335
164,595
165,349
166,335
167,335
168,349
169,349
170,335
171,335
172,349
173,349
174,335
175,349
176,335
177,349
178,335
179,335
180,335
181,349
182,335
183,335
184,335
185,607
186,349
187,335
188,335
189,349
190,335
191,335
192,335
193,349
194,335
195,335
196,349
197,349
198,335
199,335
200,335
201,349
202,335
203,335
204,335
205,349
206,335
207,349
208,335
209,349
210,335
211,335
212,335
213,349
214,335
215,335
216,335
217,586
218,335
219,335
220,335
221,349
222,335
223,335
224,335
225,349
226,335
227,335
228,349
229,349
230,349
231,335
232,335
233,349
234,349
235,335
236,335
237,349
238,627
239,335
240,335
241,335
242,349
243,335
244,335
245,335
246,349
247,335
248,335
249,349
250,349
251,335
252,335
253,335
254,349
255,335
